name_ar,name_en,description_ar,description_en,price,listed
ميرندا,Mirinda,ميرندا,Mirinda,3.0000000,TRUE
مياه,Water,مياه,Water,0E+00,TRUE
موز,Panan,موز,Panan,16.0000000,TRUE
مناديل,Tissue,مناديل,Tissue,0E+00,TRUE
ملح,Salt,,,0.9523810,FALSE
مكرونه,macaroni,,,5.0000000,FALSE
مشكل مشاوي,Mixed Grills,مشكل مشاوي,Mixed Grills,38.0000000,TRUE
ماء نوفا,Nova Water,,,0.9523810,FALSE
لحم صافى,Pure Meet,لحم صافى,Pure Meet,50.0000000,FALSE
لحم بقرى,Beef,,,0E+00,TRUE
لحم بالعظم,Meat in the bone,,,35.0000000,FALSE
لاتيه,Latte,لاتيه,Latte,14.0000000,TRUE
كيك الشوكلا,Chocolate cake,,Chocolate cake,19.0000000,TRUE
